"industry_name","payroll_year","avg_salary","previous_year_salary","difference","trend"
Administrativní a podpůrné činnosti,2000,9747.2500000000000000,,,no change
Administrativní a podpůrné činnosti,2001,10382.7500000000000000,9747.2500000000000000,635.5000000000000000,growth
Administrativní a podpůrné činnosti,2002,11051.0000000000000000,10382.7500000000000000,668.2500000000000000,growth
Administrativní a podpůrné činnosti,2003,11203.0000000000000000,11051.0000000000000000,152.0000000000000000,growth
Administrativní a podpůrné činnosti,2004,11977.0000000000000000,11203.0000000000000000,774.0000000000000000,growth
Administrativní a podpůrné činnosti,2005,12391.2500000000000000,11977.0000000000000000,414.2500000000000000,growth
Administrativní a podpůrné činnosti,2006,13414.0000000000000000,12391.2500000000000000,1022.7500000000000000,growth
Administrativní a podpůrné činnosti,2007,14117.0000000000000000,13414.0000000000000000,703.0000000000000000,growth
Administrativní a podpůrné činnosti,2008,14451.2500000000000000,14117.0000000000000000,334.2500000000000000,growth
Administrativní a podpůrné činnosti,2009,15041.0000000000000000,14451.2500000000000000,589.7500000000000000,growth
Administrativní a podpůrné činnosti,2010,15222.0000000000000000,15041.0000000000000000,181.0000000000000000,growth
Administrativní a podpůrné činnosti,2011,15509.2500000000000000,15222.0000000000000000,287.2500000000000000,growth
Administrativní a podpůrné činnosti,2012,15935.0000000000000000,15509.2500000000000000,425.7500000000000000,growth
Administrativní a podpůrné činnosti,2013,16026.0000000000000000,15935.0000000000000000,91.0000000000000000,growth
Administrativní a podpůrné činnosti,2014,16191.0000000000000000,16026.0000000000000000,165.0000000000000000,growth
Administrativní a podpůrné činnosti,2015,16559.5000000000000000,16191.0000000000000000,368.5000000000000000,growth
Administrativní a podpůrné činnosti,2016,17537.0000000000000000,16559.5000000000000000,977.5000000000000000,growth
Administrativní a podpůrné činnosti,2017,18861.0000000000000000,17537.0000000000000000,1324.0000000000000000,growth
Administrativní a podpůrné činnosti,2018,20165.500000000000,18861.0000000000000000,1304.5000000000000000,growth
Administrativní a podpůrné činnosti,2019,21841.750000000000,20165.500000000000,1676.250000000000,growth
Administrativní a podpůrné činnosti,2020,22649.250000000000,21841.750000000000,807.500000000000,growth
Administrativní a podpůrné činnosti,2021,23685.000000000000,22649.250000000000,1035.750000000000,growth
Činnosti v oblasti nemovitostí,2000,11496.2500000000000000,,,no change
Činnosti v oblasti nemovitostí,2001,12464.0000000000000000,11496.2500000000000000,967.7500000000000000,growth
Činnosti v oblasti nemovitostí,2002,14128.7500000000000000,12464.0000000000000000,1664.7500000000000000,growth
Činnosti v oblasti nemovitostí,2003,14933.0000000000000000,14128.7500000000000000,804.2500000000000000,growth
Činnosti v oblasti nemovitostí,2004,15856.2500000000000000,14933.0000000000000000,923.2500000000000000,growth
Činnosti v oblasti nemovitostí,2005,16365.0000000000000000,15856.2500000000000000,508.7500000000000000,growth
