"potraviny","priemerne_percent_zdražovanie","najpomalšie_zdražovanie"
Cukr krystalový,-1.92,1
Rajská jablka červená kulatá,-0.74,2
Banány žluté,0.81,3
Vepřová pečeně s kostí,0.99,4
Přírodní minerální voda uhličitá,1.02,5
Šunkový salám,1.86,6
Jablka konzumní,2.01,7
Pečivo pšeničné bílé,2.20,8
Hovězí maso zadní bez kosti,2.54,9
Kapr živý,2.60,10
Jakostní víno bílé,2.70,11
"Pivo výčepní, světlé, lahvové",2.85,12
Eidamská cihla,2.92,13
Mléko polotučné pasterované,2.98,14
Rostlinný roztíratelný tuk,3.23,15
Kuřata kuchaná celá,3.38,16
Pomeranče,3.60,17
Jogurt bílý netučný,3.95,18
Chléb konzumní kmínový,3.97,19
Konzumní brambory,4.18,20
Rýže loupaná dlouhozrnná,5.00,21
Mrkev,5.23,22
Pšeničná mouka hladká,5.24,23
Těstoviny vaječné,5.26,24
Vejce slepičí čerstvá,5.56,25
Máslo,6.68,26
Papriky,7.29,27
