"year","price","salary","diff_price","diff_salary","pct_diff","flag_diff_10"
2006,45.52,20342,,,,0
2007,48.59,21725,3.07,1383,-0.06,0
2008,51.60,23475,3.01,1750,-1.87,0
2009,48.29,24238,-3.31,763,-9.66,0
2010,49.23,24722,0.94,484,-0.05,0
2011,50.88,25284,1.65,562,1.08,0
2012,54.30,26077,3.42,793,3.58,0
2013,57.07,25671,2.77,-406,6.66,0
2014,57.49,26324,0.42,653,-1.80,0
2015,57.18,26960,-0.31,636,-2.96,0
2016,56.49,27947,-0.69,987,-4.87,0
2017,61.93,29736,5.44,1789,3.23,0
2018,63.27,31980,1.34,2244,-5.39,0
