"rok","hdp","hdp_rozdiel","priemer_mzda","rozdiel_mzda","priemer_cena_potravin","rozdiel_ceny_potravin"
1999,146814269063,,,,,
2000,152688350009,5874080946,,,,
2001,157334620713,4646270705,,,,
2002,159804546640,2469925926,,,,
2003,165531443734,5726897095,,,,
2004,173500559475,7969115741,,,,
2005,184954402823,11453843349,,,,
2006,197470142754,12515739930,20342,,45.52,
2007,208469898851,10999756097,21725,1383,48.59,3.07
2008,214070259128,5600360277,23475,1750,51.60,3.01
2009,204100298391,-9969960736,24238,763,48.29,-3.31
2010,209069940963,4969642572,24722,484,49.23,0.94
2011,212750323791,3680382828,25284,562,50.88,1.65
2012,211080224603,-1670099188,26077,793,54.30,3.42
2013,210983331026,-96893577,25671,-406,57.07,2.77
2014,215755991069,4772660043,26324,653,57.49,0.42
2015,227381745549,11625754480,26960,636,57.18,-0.31
2016,233151067381,5769321832,27947,987,56.49,-0.69
2017,245202003266,12050935885,29736,1789,61.93,5.44
2018,253045172104,7843168838,31980,2244,63.27,1.34
2019,258899638368,5854466264,,,,
2020,244395294183,-14504344185,,,,
