"avg_salary","payroll_year","odvetvie","previous_year_salary","rozdil","trend"
9747.2500000000000000,2000,Administrativní a podpůrné činnosti,,,no change
10382.7500000000000000,2001,Administrativní a podpůrné činnosti,9747.2500000000000000,635.5000000000000000,growth
11051.0000000000000000,2002,Administrativní a podpůrné činnosti,10382.7500000000000000,668.2500000000000000,growth
11203.0000000000000000,2003,Administrativní a podpůrné činnosti,11051.0000000000000000,152.0000000000000000,growth
11977.0000000000000000,2004,Administrativní a podpůrné činnosti,11203.0000000000000000,774.0000000000000000,growth
12391.2500000000000000,2005,Administrativní a podpůrné činnosti,11977.0000000000000000,414.2500000000000000,growth
13414.000000000000,2006,Administrativní a podpůrné činnosti,12391.2500000000000000,1022.7500000000000000,growth
14117.000000000000,2007,Administrativní a podpůrné činnosti,13414.000000000000,703.000000000000,growth
14451.250000000000,2008,Administrativní a podpůrné činnosti,14117.000000000000,334.250000000000,growth
15041.000000000000,2009,Administrativní a podpůrné činnosti,14451.250000000000,589.750000000000,growth
15222.000000000000,2010,Administrativní a podpůrné činnosti,15041.000000000000,181.000000000000,growth
15509.250000000000,2011,Administrativní a podpůrné činnosti,15222.000000000000,287.250000000000,growth
15935.000000000000,2012,Administrativní a podpůrné činnosti,15509.250000000000,425.750000000000,growth
16026.000000000000,2013,Administrativní a podpůrné činnosti,15935.000000000000,91.000000000000,growth
16191.000000000000,2014,Administrativní a podpůrné činnosti,16026.000000000000,165.000000000000,growth
16559.500000000000,2015,Administrativní a podpůrné činnosti,16191.000000000000,368.500000000000,growth
17537.000000000000,2016,Administrativní a podpůrné činnosti,16559.500000000000,977.500000000000,growth
18861.000000000000,2017,Administrativní a podpůrné činnosti,17537.000000000000,1324.000000000000,growth
20165.500000000000,2018,Administrativní a podpůrné činnosti,18861.000000000000,1304.500000000000,growth
21841.750000000000,2019,Administrativní a podpůrné činnosti,20165.500000000000,1676.250000000000,growth
22649.250000000000,2020,Administrativní a podpůrné činnosti,21841.750000000000,807.500000000000,growth
23685.000000000000,2021,Administrativní a podpůrné činnosti,22649.250000000000,1035.750000000000,growth
11496.2500000000000000,2000,Činnosti v oblasti nemovitostí,,,no change
12464.0000000000000000,2001,Činnosti v oblasti nemovitostí,11496.2500000000000000,967.7500000000000000,growth
14128.750000000000,2002,Činnosti v oblasti nemovitostí,12464.0000000000000000,1664.7500000000000000,growth
14933.000000000000,2003,Činnosti v oblasti nemovitostí,14128.750000000000,804.250000000000,growth
15856.250000000000,2004,Činnosti v oblasti nemovitostí,14933.000000000000,923.250000000000,growth
16365.000000000000,2005,Činnosti v oblasti nemovitostí,15856.250000000000,508.750000000000,growth
17550.750000000000,2006,Činnosti v oblasti nemovitostí,16365.000000000000,1185.750000000000,growth
18994.500000000000,2007,Činnosti v oblasti nemovitostí,17550.750000000000,1443.750000000000,growth
19656.250000000000,2008,Činnosti v oblasti nemovitostí,18994.500000000000,661.750000000000,growth
19919.250000000000,2009,Činnosti v oblasti nemovitostí,19656.250000000000,263.000000000000,growth
20264.750000000000,2010,Činnosti v oblasti nemovitostí,19919.250000000000,345.500000000000,growth
21083.500000000000,2011,Činnosti v oblasti nemovitostí,20264.750000000000,818.750000000000,growth
21438.500000000000,2012,Činnosti v oblasti nemovitostí,21083.500000000000,355.000000000000,growth
21094.000000000000,2013,Činnosti v oblasti nemovitostí,21438.500000000000,-344.500000000000,decrease
21811.750000000000,2014,Činnosti v oblasti nemovitostí,21094.000000000000,717.750000000000,growth
22569.000000000000,2015,Činnosti v oblasti nemovitostí,21811.750000000000,757.250000000000,growth
23635.500000000000,2016,Činnosti v oblasti nemovitostí,22569.000000000000,1066.500000000000,growth
25194.750000000000,2017,Činnosti v oblasti nemovitostí,23635.500000000000,1559.250000000000,growth
27059.500000000000,2018,Činnosti v oblasti nemovitostí,25194.750000000000,1864.750000000000,growth
29743.000000000000,2019,Činnosti v oblasti nemovitostí,27059.500000000000,2683.500000000000,growth
27611.750000000000,2020,Činnosti v oblasti nemovitostí,29743.000000000000,-2131.250000000000,decrease
30520.000000000000,2021,Činnosti v oblasti nemovitostí,27611.750000000000,2908.250000000000,growth
13190.000000000000,2000,Doprava a skladování,,,no change
