"country","year","gdp","population","gdp_per_capita","gini"
Albania,1999,6483126460.62459,3108778.0,2085.43,
Andorra,1999,2550420257.1921,64368.0,39622.49,
Austria,1999,325824841728.611,7992324.0,40767.22,
Belarus,1999,26491948709.2598,10026738,2642.13,31.7
Belgium,1999,391671405153.267,10226419,38299.96,
Bosnia and Herzegovina,1999,10720397681.9001,3743353.0,2863.85,
Bulgaria,1999,31069642496.7662,8210624.0,3784.08,
Croatia,1999,45379738092.8281,4512597.0,10056.24,
Czech Republic,1999,146814269063.158,10283860,14276.18,
Denmark,1999,287450544669.54,5321799.0,54013.79,
Estonia,1999,816077965.159615,1390244.0,587.00,
Faroe Islands,1999,,46428.0,,
Finland,1999,197913218965.791,5165474.0,38314.63,
France,1999,2247611842122.65,60496708,37152.63,
Germany,1999,3033345016124.14,82100243,36946.85,
Gibraltar,1999,,30526.0,,
Greece,1999,240215002787.885,10761698,22321.29,
Hungary,1999,102424015561.338,10237530,10004.76,
Iceland,1999,10134754993.3966,277381.0,36537.31,
Ireland,1999,153444958603.477,3754786.0,40866.50,
Italy,1999,1995127770569.1,56916317,35053.70,
Latvia,1999,22203486874.2182,2390482.0,9288.29,
Liechtenstein,1999,,32765.0,,
Lithuania,1999,6777878258.90031,3524238.0,1923.22,
Luxembourg,1999,37710398522.3226,430475.0,87601.83,
Malta,1999,5941073341.83603,387578.0,15328.72,
Moldova,1999,4142328086.47215,2929735.0,1413.89,42.6
Monaco,1999,4295023067.74493,31836.0,134910.89,
Montenegro,1999,2907286053.87602,606001.0,4797.49,
Netherlands,1999,710419469458.976,15812088,44928.88,28.1
North Macedonia,1999,6716025585.98234,2024393.0,3317.55,
Norway,1999,355314714530.518,4461913.0,79632.82,
Poland,1999,312676052134.116,38660271,8087.79,
Portugal,1999,213283630195.37,10217828,20873.68,
Romania,1999,107310890612.622,22472040,4775.31,
Russian Federation,1999,865063897237.22,147214776,5876.20,37.4
San Marino,1999,1666138637.36552,27141.0,61388.26,
Serbia,1999,24914338849.8698,7540401.0,3304.11,
Slovakia,1999,55027429601.0124,5396020.0,10197.78,
Slovenia,1999,35570840202.4902,1983045.0,17937.49,
Spain,1999,1096107329825.06,40386875,27140.19,
Sweden,1999,380587280611.132,8857874.0,42965.98,
Switzerland,1999,480784465400.367,7143991.0,67299.14,
Ukraine,1999,84420719245.9484,49674000,1699.50,
United Kingdom,1999,2046007078423.14,58682466,34865.73,37.0
Albania,2000,6933706092.26578,3089027.0,2244.62,
Andorra,2000,2640408325.59989,65390.0,40379.39,
Austria,2000,336823783071.547,8011566.0,42042.19,28.8
Belarus,2000,28028482645.7397,9979610.0,2808.57,31.2
Belgium,2000,406228575522.44,10251250,39627.22,33.1
Bosnia and Herzegovina,2000,11310019583.9402,3751176.0,3015.06,
Bulgaria,2000,32555406323.5435,8170172.0,3984.67,
Croatia,2000,46678391315.0396,4468302.0,10446.56,
