"rok","cena","mzda","pct_diff_cena","pct_diff_mzda","rozdiel_pct","flag_rozdiel_10"
2006.0,44.62,20677,,,,0
2007.0,47.45,22095,6.34,6.86,0.52,0
2008.0,50.49,23834,6.41,7.87,1.46,0
2009.0,47.06,24590,-6.79,3.17,9.96,0
2010.0,47.89,25072,1.76,1.96,0.20,0
2011.0,49.56,25651,3.49,2.31,1.18,0
2012.0,53.00,26423,6.94,3.01,3.93,0
2013.0,55.94,26029,5.55,-1.49,7.04,0
2014.0,56.44,26699,0.89,2.57,1.68,0
2015.0,56.12,27377,-0.57,2.54,3.11,0
2016.0,55.49,28387,-1.12,3.69,4.81,0
2017.0,61.03,30177,9.98,6.31,3.67,0
2018.0,62.21,32485,1.93,7.65,5.72,0
