"year","round","gdp_diff","avg_salary","salary_diff","avg_price","price_diff"
1999,146814269063,,,,,
2000,152688350009,5874080946,13709,,,
2001,157334620713,4646270705,15037,1328,,
2002,159804546640,2469925926,16283,1246,,
2003,165531443734,5726897095,17271,988,,
2004,173500559475,7969115741,18357,1086,,
2005,184954402823,11453843349,19380,1023,,
2006,197470142754,12515739930,20677,1297,44.62,
2007,208469898851,10999756097,22095,1418,47.45,2.83
2008,214070259128,5600360277,23834,1739,50.49,3.04
2009,204100298391,-9969960736,24590,756,47.06,-3.43
2010,209069940963,4969642572,25072,482,47.89,0.83
2011,212750323791,3680382828,25651,579,49.56,1.67
2012,211080224603,-1670099188,26423,772,53.00,3.44
2013,210983331026,-96893577,26029,-394,55.94,2.94
2014,215755991069,4772660043,26699,670,56.44,0.50
2015,227381745549,11625754480,27377,678,56.12,-0.32
2016,233151067381,5769321832,28387,1010,55.49,-0.63
2017,245202003266,12050935885,30177,1790,61.03,5.54
2018,253045172104,7843168838,32485,2308,62.21,1.18
2019,258899638368,5854466264,34885,2400,,
2020,244395294183,-14504344185,35699,814,,
