"value","value_type_code","calculation_code","payroll_year","industry_name","avg_salary_year","product_name","avg_price_year","price_value","price_unit","year","date_from"
9036,5958,100,2000,Administrativní a podpůrné činnosti,9747.2500000000000000,,,,,,
10635,5958,100,2000,Administrativní a podpůrné činnosti,9747.2500000000000000,,,,,,
9715,5958,100,2000,Administrativní a podpůrné činnosti,9747.2500000000000000,,,,,,
9603,5958,100,2000,Administrativní a podpůrné činnosti,9747.2500000000000000,,,,,,
10575,5958,100,2000,Činnosti v oblasti nemovitostí,11496.2500000000000000,,,,,,
11335,5958,100,2000,Činnosti v oblasti nemovitostí,11496.2500000000000000,,,,,,
11189,5958,100,2000,Činnosti v oblasti nemovitostí,11496.2500000000000000,,,,,,
12886,5958,100,2000,Činnosti v oblasti nemovitostí,11496.2500000000000000,,,,,,
14512,5958,100,2000,Doprava a skladování,13190.000000000000,,,,,,
13080,5958,100,2000,Doprava a skladování,13190.000000000000,,,,,,
13125,5958,100,2000,Doprava a skladování,13190.000000000000,,,,,,
12043,5958,100,2000,Doprava a skladování,13190.000000000000,,,,,,
20625,5958,100,2000,Informační a komunikační činnosti,21591.750000000000,,,,,,
24276,5958,100,2000,Informační a komunikační činnosti,21591.750000000000,,,,,,
20382,5958,100,2000,Informační a komunikační činnosti,21591.750000000000,,,,,,
21084,5958,100,2000,Informační a komunikační činnosti,21591.750000000000,,,,,,
9234,5958,100,2000,"Kulturní, zábavní a rekreační činnosti",10282.0000000000000000,,,,,,
11423,5958,100,2000,"Kulturní, zábavní a rekreační činnosti",10282.0000000000000000,,,,,,
9910,5958,100,2000,"Kulturní, zábavní a rekreační činnosti",10282.0000000000000000,,,,,,
10561,5958,100,2000,"Kulturní, zábavní a rekreační činnosti",10282.0000000000000000,,,,,,
9648,5958,100,2000,Ostatní činnosti,9974.2500000000000000,,,,,,
10105,5958,100,2000,Ostatní činnosti,9974.2500000000000000,,,,,,
9111,5958,100,2000,Ostatní činnosti,9974.2500000000000000,,,,,,
11033,5958,100,2000,Ostatní činnosti,9974.2500000000000000,,,,,,
22155,5958,100,2000,Peněžnictví a pojišťovnictví,24927.000000000000,,,,,,
