value;value_type_code;calculation_code;payroll_year;industry_name;avg_salary_year;product_name;avg_price_year;price_value;price_unit;year;date_from
13367;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Rùìe loupan‡ dlouhozrnn‡;21,29;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Pivo vù‹epn’, svžtlŽ, lahvovŽ;8,45;0.5;l;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;PÞ’rodn’ miner‡ln’ voda uhli‹it‡;7,69;1.0;l;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Cukr krystalovù;21,73;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Konzumn’ brambory;12,07;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Mrkev;14,41;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Papriky;35,31;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Rajsk‡ jablka ‹erven‡ kulat‡;57,83;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Jablka konzumn’;30,71;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Ban‡ny ìlutŽ;27,30;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Pomeran‹e;24,73;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Rostlinnù rozt’ratelnù tuk;69,45;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;M‡slo;104,39;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Vejce slepi‹’ ‹erstv‡;23,49;10.0;ks;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Eidamsk‡ cihla;110,95;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Jogurt b’lù netu‹nù;5,83;150.0;g;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;MlŽko polotu‹nŽ pasterovanŽ;14,44;1.0;l;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;áunkovù sal‡m;116,77;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;KuÞata kuchan‡ cel‡;47,47;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;VepÞov‡ pe‹enž s kost’;105,18;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Hovžz’ maso zadn’ bez kosti;166,34;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Tžstoviny vaje‹nŽ;26,10;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Pe‹ivo päeni‹nŽ b’lŽ;38,60;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;ChlŽb konzumn’ km’novù;16,12;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Päeni‹n‡ mouka hladk‡;7,41;1.0;kg;2006;2.1.2006
12586;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Rùìe loupan‡ dlouhozrnn‡;21,29;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Rùìe loupan‡ dlouhozrnn‡;21,29;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Päeni‹n‡ mouka hladk‡;7,41;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;ChlŽb konzumn’ km’novù;16,12;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Pe‹ivo päeni‹nŽ b’lŽ;38,60;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Tžstoviny vaje‹nŽ;26,10;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Hovžz’ maso zadn’ bez kosti;166,34;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;VepÞov‡ pe‹enž s kost’;105,18;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;KuÞata kuchan‡ cel‡;47,47;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;áunkovù sal‡m;116,77;1.0;kg;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;MlŽko polotu‹nŽ pasterovanŽ;14,44;1.0;l;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Jogurt b’lù netu‹nù;5,83;150.0;g;2006;2.1.2006
14585;5958;100;2006;Administrativn’ a podpórnŽ ‹innosti;13414;Eidamsk‡ cihla;110,95;1.0;kg;2006;2.1.2006
